STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,EVAP,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT21,WT22,WV03,WV20
USW00023232,3/18/1984,California,Sacramento,60,80,10.07,,,,,,0,0,0,,69,42,,665,,,,,315,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,3/19/1984,California,Sacramento,30,50,5.82,,,,,,0,0,0,,76,45,,693,,,,,315,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,3/20/1984,California,Sacramento,30,50,8.5,,,,,,0,0,0,,78,51,,690,,,,,225,,,,,,,17.9,,,,,,,,,,,,,,,,
USW00023232,3/21/1984,California,Sacramento,50,80,11.86,,,,,,0,0,0,,67,46,,650,,,,,315,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,3/22/1984,California,Sacramento,0,10,12.3,,,,,,0,0,0,,77,49,,700,,,,,315,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,3/23/1984,California,Sacramento,60,90,7.38,,,,,,0,0,0,,75,46,,594,,,,,180,,,,,,,10.1,,,,,,,,,,,,,,,,
USW00023232,3/24/1984,California,Sacramento,30,50,8.28,,,,,,0,0,0,,71,49,,675,,,,,180,,,,,,,12.1,,,,,,,,,,,,,,,,
USW00023232,3/25/1984,California,Sacramento,60,100,6.71,,,,,,0,0,0,,71,46,,601,,,,,315,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,3/26/1984,California,Sacramento,50,70,9.4,,,,,,0,0,0,,74,51,,654,,,,,225,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,3/27/1984,California,Sacramento,0,0,13.87,,,,,,0,0,0,,73,48,,745,,,,,315,,,,,,,25.1,,,,,,,,,,,,,,,,
