STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USC00470273,3/29/1992,Wisconsin,Dane,,,,,,,,,0.31,0,0,,49,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/30/1992,Wisconsin,Dane,,,,,,,,,0.09,0,0,,38,33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,3/31/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,54,35,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/1/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,51,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/2/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,37,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/3/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,45,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/4/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,55,29,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/5/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,48,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/6/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,58,31,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/7/1992,Wisconsin,Dane,,,,,,,,,0.01,0,0,,70,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/8/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,70,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/9/1992,Wisconsin,Dane,,,,,,,,,0.36,0,0,,59,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/10/1992,Wisconsin,Dane,,,,,,,,,0.01,0,0,,59,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/11/1992,Wisconsin,Dane,,,,,,,,,0.1,0,0,,41,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/12/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,45,23,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/13/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,42,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/14/1992,Wisconsin,Dane,,,,,,,,,0.03,0,0,,43,31,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,4/15/1992,Wisconsin,Dane,,,,,,,,,0.35,0,0,,46,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
